Blog	four	looking	second	here	kids	k	music	until	example	want	turn	wrong	fix	re	wasn	service	project	person	tech	came	saying	best	country	asked	much	life	things	had	easy	possible	right	old	people	support	happy	later	team	along	love	working	following	such	data	years	course	didn	internet	million	open	city	future	saw	note	take	going	where	sites	jobs	many	wants	photos	former	technology	being	around	traffic	world	power	favorite	her	series	complete	ad	am	tv	th	large	small	past	hours	experience	social	via	company	science	learn	information	its	always	found	really	try	number	self	also	play	sometimes	set	see	last	whole	community	rules	recent	amp	couple	d	continue	anything	into	link	line	up	us	ago	having	results	video	great	makes	tools	next	process	high	move	doing	could	start	system	haven	face	fact	should	hope	means	stuff	email	ve	android	off	less	web	government	five	does	software	details	chance	above	search	word	work	interview	after	order	office	then	them	they	network	created	another	do	away	hand	photo	thanks	night	security	post	months	available	way	true	together	change	history	extra	live	car	write	product	use	still	half	now	january	year	space	shows	care	ways	than	online	america	only	between	article	comes	these	media	thinking	real	read	early	using	business	your	aren	lot	trying	building	since	month	very	learned	family	put	site	help	soon	actually	event	reason	ask	american	mobile	latest	pretty	during	x	close	won	probably	else	look	while	user	march	game	some	run	step	doesn	e	go	facebook	click	started	point	links	including	him	keep	exactly	need	able	based	she	written	key	police	problem	both	well	page	twitter	home	he	star	friends	companies	likely	even	ever	never	met	call	tell	give	answer	before	personal	better	weeks	went	mean	content	isn	features	matter	seen	don	m	stop	bad	decided	said	against	appeared	three	website	say	if	make	left	human	yes	yet	save	deal	popular	down	digital	finally	did	making	crazy	may	man	maybe	talk	nbsp	group	interesting	thing	think	first	little	anyone	were	shot	show	behind	black	get	enough	reading	across	those	different	pay	same	money	either	images	youtube	again	important	u	public	published	two	share	needs	coming	through	someone	everyone	house	hard	idea	done	least	part	believe	built	build	most	find	please	simple	create	understand	fun	itself	yesterday	big	bit	google	often	back	others	control	ll	day	text	taking	almost	com	thought	add	works	minutes	special	under	every	school	changes	would	phone	must	me	times	end	over	writing	each	got	free	wanted	days	already	top	too	took	though	watch	report	full	news	been	several	pick	gave	everything	no	cool	posts	says	goes	weird	today	local	figure	happened	name	place	given	white	any	ideas	sure	state	review	come	case	myself	good	check	week	without	seems	blog	update	there	program	far	list	design	version	known	rather	short	might	used	friday	feel	story	kind	nothing	his	hit	art	recently	reasons	questions	question	long	called	users	once	issues	apple	heart	app	few	something	six	instead	looks	our	out	york	their	which	who	why	words	view	stories	job	will	let	gets	other	know	because	lead	getting	own	apps	made	book
WIL WHEATON dot NET	0	0	0	4	3	0	1	0	1	0	1	0	0	1	1	0	0	0	0	1	0	5	0	0	4	3	5	3	0	2	1	3	10	0	1	0	2	0	0	1	0	0	0	1	1	2	1	0	0	0	0	0	0	1	6	4	0	0	1	0	0	0	2	5	5	0	2	2	2	0	1	0	0	5	2	0	0	1	0	0	0	0	0	0	2	0	0	0	1	1	5	1	0	1	4	5	2	2	3	3	0	0	1	0	2	1	7	0	2	7	1	1	9	4	0	1	0	1	2	0	0	4	1	0	1	0	1	0	0	2	0	4	0	1	1	4	2	5	0	3	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	4	2	2	0	1	0	4	3	1	0	0	1	0	4	0	0	7	2	0	0	0	0	1	0	2	0	1	4	0	4	0	3	0	0	0	3	3	2	2	0	0	0	0	0	0	0	1	0	1	1	1	4	0	2	1	0	2	0	4	1	3	3	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	1	2	4	0	1	5	4	3	0	1	1	2	0	0	0	1	1	1	10	0	0	0	3	0	0	0	0	0	0	0	3	0	3	1	25	6	1	0	1	3	3	5	1	3	3	0	0	4	1	0	2	0	0	0	0	0	1	0	2	17	0	1	0	2	0	0	0	0	2	4	0	2	0	2	0	0	0	0	0	0	2	4	2	0	2	3	3	5	1	1	2	6	5	4	4	1	4	0	2	1	2	3	0	0	3	4	2	0	2	0	0	0	0	1	1	0	0	0	3	1	0	0	0	1	5	2	0	0	0	0	11	0	1	0	2	0	1	0	0	1	1	1	0	0	2	0	0	3	1	0	3	2	0	1	2	1	2	0	0	3	1	0	1	2	0	8	2	0	29	0	3	2	2	1	11	1	3	0	0	0	3	1	1	1	0	1	1	5	0	1	1	0	0	2	0	2	1	6	7	0	1	3	1	0	0	3	1	1	3	0	0	0	0	1	4	0	2	1	0	2	0	8	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	6	1	0	2	2	0	0	1	0	0	1	0	0	0	0	1	2	0	0	1	7	9	0	3	1	11	4	2	1	0	0	6	1	0	4	4	11	0	1	2	0	6	0
Online Marketing Report	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1	0	1	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	2	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	23	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0
Creating Passionate Users	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	4	0	0	0	0	1	1	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	3	2	2	0	0	0	2	0	0	0	0	1	0	0	2	1	1	1	0	0	0	1	0	0	0	0	0	5	0	1	0	0	5	1	1	0	0	0	1	1	0	0	1	2	1	1	0	0	0	2	0	0	1	0	0	0	0	1	1	0	0
Bloggers Blog	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	2	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	7	0	1	0	0	0	1	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	1	0
Joystiq RSS Feed	0	0	0	2	0	0	0	1	0	0	1	0	0	2	0	0	1	0	0	0	1	8	0	0	1	1	0	1	0	0	0	0	7	0	0	0	3	0	0	1	1	0	0	11	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	2	0	0	1	0	2	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	4	1	0	1	0	8	0	3	0	1	0	0	1	0	0	0	0	0	1	7	0	0	0	13	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	1	0	8	1	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	2	1	0	1	1	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	9	0	1	0	0	1	0	0	1	0	0	1	0	0	0	1	7	0	0	2	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	1	2	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	3	0	2	0	0	0	0	1	0	1	0	0	0	0	0	1	1	7	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	1	8	0	7	0	0	0	0	1	1	0	0	7	0	0	0	1	0	0	0	0
Joho the Blog	0	0	0	2	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	3	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	1	2	0	2	0	0	3	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	2	0	2	0	0	1	2	0	0	2	2	0	0	3	0	0	1	0
Derek Powazek	0	1	0	6	1	0	0	0	0	1	0	1	1	7	1	0	0	0	1	1	0	1	0	0	1	5	1	3	2	1	4	2	2	0	4	1	0	1	1	0	1	0	0	5	1	1	1	0	1	0	0	0	0	1	4	0	0	0	1	0	2	0	0	0	1	0	3	0	0	9	0	0	0	3	0	0	0	2	0	0	0	0	0	1	0	0	0	1	4	1	2	1	1	1	2	0	0	0	3	7	0	3	0	0	0	4	2	4	1	4	2	0	11	4	2	0	0	0	5	0	0	1	1	1	0	1	1	0	0	0	1	0	1	2	0	1	0	11	0	1	1	1	0	0	0	0	0	1	0	0	3	3	0	4	0	0	7	2	6	1	0	3	7	1	1	0	0	2	0	3	2	1	0	1	1	1	0	0	2	1	3	1	0	4	0	10	0	4	0	0	0	1	2	2	0	1	4	0	1	2	2	1	0	0	1	1	1	6	0	1	0	0	1	0	1	0	1	1	2	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	3	0	0	0	0	4	0	0	2	0	0	0	2	0	1	1	1	0	7	0	1	0	0	2	2	1	1	0	5	0	2	0	0	1	1	3	1	1	0	0	1	1	0	0	2	3	0	1	0	1	0	1	4	12	0	3	1	3	1	0	4	0	3	9	1	1	0	1	1	0	1	0	2	1	0	4	0	0	0	1	1	3	0	0	0	4	4	3	7	0	2	1	3	0	1	6	5	4	0	1	0	0	3	3	0	0	1	2	0	0	0	3	9	1	0	1	1	0	1	0	3	0	1	0	2	0	0	0	2	1	0	1	2	0	0	2	0	1	0	0	2	2	0	0	4	2	0	1	1	1	1	0	0	1	2	1	3	0	0	0	0	1	15	1	0	5	2	1	1	0	0	4	1	2	2	3	0	1	0	1	1	8	0	0	2	2	2	2	0	0	2	0	2	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	1	0	3	0	0	1	1	7	0	0	0	1	0	0	0	1	1	1	2	5	3	1	0	3	1	0	0	0	1	0	1	0	0	2	2	0	0	0	5	8	2	0	0	3	9	0	4	2	1	1	0	0	1	1	5	1	2	3	6	3	0	2	2	0	2	6
Jeremy Zawodny's blog	1	2	3	6	0	0	0	4	0	3	4	5	0	5	2	2	0	2	0	1	0	2	0	4	4	1	5	17	0	2	5	0	6	0	2	2	3	5	0	4	1	3	4	8	3	11	2	0	0	0	2	2	4	3	8	8	0	0	3	2	5	1	0	4	3	0	1	0	2	1	1	2	0	4	0	0	2	5	0	0	1	1	1	2	0	0	1	0	1	1	12	4	2	0	7	0	0	4	10	2	1	0	0	2	0	2	13	0	2	9	0	14	24	28	6	5	1	0	2	4	2	5	0	6	0	2	13	1	1	1	1	3	6	0	1	2	3	7	0	5	1	0	0	0	3	0	0	2	3	1	0	6	0	11	0	1	16	7	26	4	0	4	6	4	3	0	2	2	0	2	0	2	13	0	2	1	0	0	0	0	2	1	10	4	0	5	0	2	0	0	0	0	4	0	0	7	2	0	0	1	1	1	1	3	0	4	4	13	0	7	3	0	7	0	16	2	0	2	1	5	1	1	0	1	1	0	0	0	1	2	3	0	0	6	1	0	6	0	0	0	22	1	1	1	0	9	0	0	1	4	0	0	4	2	2	5	0	0	2	1	0	0	2	4	7	0	1	1	9	0	0	0	2	4	3	3	2	1	0	3	0	12	0	2	2	6	1	1	0	0	1	2	1	6	1	0	6	2	1	3	1	0	6	18	4	4	0	0	2	0	0	0	25	1	1	7	1	0	5	0	3	3	0	4	3	3	3	13	2	2	24	0	0	4	0	16	2	4	8	2	1	0	3	0	3	0	0	0	4	0	2	0	6	0	0	3	2	0	4	0	5	2	0	0	0	0	0	1	8	2	3	0	0	1	3	1	2	0	11	0	2	16	3	2	8	8	0	1	0	0	0	0	0	4	0	0	1	0	3	8	0	3	17	3	5	9	0	5	8	1	0	0	1	4	5	6	1	1	0	3	0	6	3	1	3	2	5	1	0	0	0	1	3	1	0	2	3	1	0	0	2	0	3	0	0	1	1	3	6	2	4	1	3	3	0	19	0	2	1	0	0	1	1	3	2	1	0	1	0	0	0	10	0	0	2	0	1	0	10	2	2	1	0	0	1	0	13	7	0	3	0	22	8	0	13	9	5	5	0	1	1	1	12	0	1	8	5	6	4	6	0	0	7	1
@ProBlogger	0	4	0	3	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	3	0	1	1	3	1	0	0	0	2	1	0	0	0	0	0	0	2	1	1	1	0	3	1	0	7	0	0	0	0	0	0	4	8	3	3	0	3	0	0	0	0	1	2	10	2	1	0	0	0	0	0	0	0	0	0	2	1	1	0	5	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	2	0	0	0	2	0	0	1	0	0	3	4	0	1	0	3	2	0	3	4	0	0	1	1	1	3	0	0	0	0	7	0	1	0	0	5	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	2	6	1	0	0	1	3	0	0	1	0	0	0	10	0	0	1	0	0	0	0	0	0	0	3	3	0	0	0	1	1	1	0	0	0	3	1	7	0	1	0	0	1	2	5	0	0	0	0	1	7	30	0	2	0	0	2	0	0	1	0	1	1	3	0	0	6	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	1	3	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	1	1	1	2	0	0	0	0	3	1	1	3	0	1	0	0	0	1	2	0	0	0	1	0	5	0	0	2	0	5	1	2	0	0	0	0	0	0	2	0	6	2	0	0	0	1	2	0	1	0	1	0	4	2	0	0	0	1	0	0	0	1	2	6	2	4	0	1	0	0	0	0	6	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	6	0	1	1	0	0	0	0	1	1	0	0	0	0	4	5	2	0	0	4	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	1	0	0	0	0	2	1	0	1	1	2	0	3	1	0	0	6	0	0	0	0	0	4	0	5	0	0	0	1	1	0	3	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	1	0	1	39	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	2	2	0	0	0	2	4	0	1	1	4	6	0	0	0	1	2	2	0	0	6	0	0	3	2	0	1	0
Captain's Quarters	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	3	1	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	3	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	2	0	2	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	3	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	1	6	1	3	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	4	0	6	0	1	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0
plasticbag.org	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	4	1	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	2	5	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	3	3	0	0	0	0	1	1	0	0	1	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	1	2	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	6	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	6	0	0	1	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	2	0	2	0	1	1	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	0	1	0	0	3	1	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	1	0
Hot Air  Top Picks	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	0	0	0
